Date,Open,High,Low,Close,Adj Close,Volume
02/01/2020,74.059998,75.150002,73.797501,75.087502,74.096443,135480400
03/01/2020,74.287498,75.144997,74.125,74.357498,73.376083,146322800
06/01/2020,73.447502,74.989998,73.1875,74.949997,73.96077,118387200
07/01/2020,74.959999,75.224998,74.370003,74.597504,73.61293,108872000
08/01/2020,74.290001,76.110001,74.290001,75.797501,74.797081,132079200
09/01/2020,76.809998,77.607498,76.550003,77.407501,76.385834,170108400
10/01/2020,77.650002,78.167503,77.0625,77.582497,76.558517,140644800
13/01/2020,77.910004,79.267502,77.787498,79.239998,78.194145,121532000
14/01/2020,79.175003,79.392502,78.042503,78.169998,77.13826,161954400
15/01/2020,77.962502,78.875,77.387497,77.834999,76.807701,121923600
16/01/2020,78.397499,78.925003,78.022499,78.809998,77.769821,108829200
17/01/2020,79.067497,79.684998,78.75,79.682503,78.630814,137816400
21/01/2020,79.297501,79.754997,79,79.142502,78.097939,110843200
22/01/2020,79.644997,79.997498,79.327499,79.425003,78.376717,101832400
23/01/2020,79.480003,79.889999,78.912498,79.807503,78.754158,104472000
24/01/2020,80.0625,80.832497,79.379997,79.577499,78.527199,146537600
27/01/2020,77.514999,77.942497,76.220001,77.237503,76.218079,161940000
28/01/2020,78.150002,79.599998,78.047501,79.422501,78.374237,162234000
29/01/2020,81.112503,81.962502,80.345001,81.084999,80.014801,216229200
30/01/2020,80.135002,81.022499,79.6875,80.967499,79.898849,126743200
31/01/2020,80.232498,80.669998,77.072502,77.377502,76.356224,199588400
03/02/2020,76.074997,78.372498,75.555,77.165001,76.146545,173788400
04/02/2020,78.827499,79.910004,78.407501,79.712502,78.660416,136616400
05/02/2020,80.879997,81.190002,79.737503,80.362503,79.301826,118826800
06/02/2020,80.642502,81.305,80.065002,81.302498,80.229431,105425600
07/02/2020,80.592499,80.849998,79.5,80.0075,79.138901,117684000
10/02/2020,78.544998,80.387497,78.462502,80.387497,79.514771,109348800
11/02/2020,80.900002,80.974998,79.677498,79.902496,79.035027,94323200
12/02/2020,80.3675,81.805,80.3675,81.800003,80.911942,113730400
13/02/2020,81.047501,81.555,80.837502,81.217499,80.335754,94747600
14/02/2020,81.184998,81.495003,80.712502,81.237503,80.355545,80113600
18/02/2020,78.839996,79.9375,78.652496,79.75,78.884193,152531200
19/02/2020,80,81.142502,80,80.904999,80.026649,93984000
20/02/2020,80.657501,81.162498,79.552498,80.074997,79.205658,100566000
21/02/2020,79.654999,80.112503,77.625,78.262497,77.412834,129554000
24/02/2020,74.315002,76.044998,72.307503,74.544998,73.735695,222195200
25/02/2020,75.237503,75.6325,71.532501,72.019997,71.238098,230673600
26/02/2020,71.6325,74.470001,71.625,73.162498,72.36821,198054800
27/02/2020,70.275002,71.5,68.239998,68.379997,67.637627,320605600
28/02/2020,64.315002,69.602501,64.092499,68.339996,67.598061,426510000
02/03/2020,70.57,75.360001,69.43,74.702499,73.891487,341397200
03/03/2020,75.917503,76,71.449997,72.330002,71.544739,319475600
04/03/2020,74.110001,75.849998,73.282501,75.684998,74.863312,219178400
05/03/2020,73.879997,74.887497,72.852501,73.230003,72.434975,187572800
06/03/2020,70.5,72.705002,70.307503,72.2575,71.473038,226176800
09/03/2020,65.9375,69.522499,65.75,66.542503,65.820076,286744800
10/03/2020,69.285004,71.610001,67.342499,71.334999,70.560547,285290000
11/03/2020,69.347504,70.305,67.964996,68.857498,68.10994,255598800
12/03/2020,63.985001,67.5,62,62.057499,61.383766,418474000
13/03/2020,66.222504,69.980003,63.237499,69.4925,68.738045,370732000
16/03/2020,60.487499,64.769997,60,60.552502,59.895107,322423600
17/03/2020,61.877499,64.402496,59.599998,63.215,62.528698,324056000
18/03/2020,59.942501,62.5,59.279999,61.6675,60.998001,300233600
19/03/2020,61.8475,63.209999,60.6525,61.195,60.530632,271857200
20/03/2020,61.794998,62.9575,57,57.310001,56.687817,401693200
23/03/2020,57.02,57.125,53.1525,56.092499,55.483528,336752800
24/03/2020,59.09,61.922501,58.575001,61.720001,61.049938,287531200
25/03/2020,62.6875,64.5625,61.075001,61.380001,60.713623,303602000
26/03/2020,61.630001,64.669998,61.59,64.610001,63.908562,252087200
27/03/2020,63.1875,63.967499,61.762501,61.935001,61.2626,204216800
30/03/2020,62.685001,63.880001,62.349998,63.702499,63.010906,167976400
31/03/2020,63.900002,65.622498,63,63.572498,62.88232,197002000
01/04/2020,61.625,62.18,59.782501,60.227501,59.573639,176218400
02/04/2020,60.084999,61.287498,59.224998,61.232498,60.567726,165934000
03/04/2020,60.700001,61.424999,59.7425,60.352501,59.697277,129880000
06/04/2020,62.724998,65.777496,62.345001,65.6175,64.905113,201820400
07/04/2020,67.699997,67.925003,64.75,64.857498,64.153374,202887200
08/04/2020,65.684998,66.842499,65.307503,66.517502,65.795349,168895200
09/04/2020,67.175003,67.517502,66.175003,66.997498,66.270126,161834800
13/04/2020,67.077499,68.425003,66.457497,68.3125,67.570862,131022800
14/04/2020,70,72.0625,69.512497,71.762497,70.983391,194994800
15/04/2020,70.599998,71.582497,70.157501,71.107498,70.33551,131154400
16/04/2020,71.845001,72.050003,70.587502,71.672501,70.894386,157125200
17/04/2020,71.172501,71.737503,69.214996,70.699997,69.932442,215250000
20/04/2020,69.487503,70.419998,69.212502,69.232498,68.480873,130015200
21/04/2020,69.07,69.3125,66.357498,67.092499,66.364113,180991600
22/04/2020,68.402496,69.474998,68.050003,69.025002,68.275627,116862400
23/04/2020,68.967499,70.4375,68.717499,68.7575,68.011032,124814400
